Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0026775,0.00013126,0.1402,0,0,0,23.654,0.32988,0.0004327,0.0033897,0.33654,0.00021836,0.30696,0,0,0,0,0,0,package://fanuc_description/meshes/base_link.STL,0,0,0,1,0,0,0,0,0,0,package://fanuc_description/meshes/base_link.STL,base_link_mat,part1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.066637,0.01583,0.15136,0,0,0,21.047,0.41047,0.0067561,-0.0723,0.35055,-0.030018,0.43716,0,0,0,0,0,0,package://fanuc_description/meshes/link_1.STL,250,250,0,1,0,0,0,0,0,0,package://fanuc_description/meshes/link_1.STL,link_1_mat,part2-1,Origin_J0,Axis_J0,J0,revolute,0,0,0.3076,0,0,0,base_link,0,0,1,12,3.4,-2.9671,2.9671,,,10,50,,,,
link_2,-4.7647E-05,-0.10746,0.39459,0,0,0,14.029,0.92334,7.4339E-05,-7.8514E-05,0.93318,-0.0041433,0.053319,0,0,0,0,0,0,package://fanuc_description/meshes/link_2.STL,250,250,0,1,0,0,0,0,0,0,package://fanuc_description/meshes/link_2.STL,link_2_mat,part3-1,Origin_J1,Axis_J1,J1,revolute,0.15,-0.062,0.2174,0,0,0,link_1,0,1,0,12,3.05,-2.2689,2.2689,,,10,50,,,,
link_3,0.10039,0.043754,0.1067,0,0,0,13.287,0.30219,0.01565,-0.064974,0.25299,-0.0090526,0.23865,0,0,0,0,0,0,package://fanuc_description/meshes/link_3.STL,250,250,0,1,0,0,0,0,0,0,package://fanuc_description/meshes/link_3.STL,link_3_mat,part4-1,Origin_J2,Axis_J2,J2,revolute,0,0,0.79,0,0,0,link_2,0,1,0,12,3.14,-3.9968,3.9968,,,10,50,,,,
link_4,0.29927,-0.05655,-3.6145E-05,0,0,0,7.7538,0.024919,0.028523,5.9523E-05,0.2559,-1.2993E-05,0.25507,0,0,0,0,0,0,package://fanuc_description/meshes/link_4.STL,250,250,0,1,0,0,0,0,0,0,package://fanuc_description/meshes/link_4.STL,link_4_mat,part5-1,Origin_J3,Axis_J3,J3,revolute,0.22329,0.062,0.25,0,0,0,link_3,1,0,0,11.7,6.28,-3.4907,3.4907,,,10,50,,,,
link_5,0.030527,-0.021471,6.6749E-08,0,0,0,0.78107,0.0017182,-0.00048263,-6.383E-10,0.0020734,-3.9859E-10,0.0018545,0,0,0,0,0,0,package://fanuc_description/meshes/link_5.STL,250,250,0,1,0,0,0,0,0,0,package://fanuc_description/meshes/link_5.STL,link_5_mat,part6-1,Origin_J4,Axis_J4,J4,revolute,0.611708100522418,0,0,0,0,0,link_4,0,1,0,11.7,6.28,-3.1416,3.1416,,,10,50,,,,
link_6,0.036896,-2.1336E-06,-1.0843E-05,0,0,0,0.050357,3.8367E-05,2.7727E-09,1.4091E-08,3.5325E-05,2.9529E-09,3.5339E-05,0,0,0,0,0,0,package://fanuc_description/meshes/link_6.STL,0,0,0,1,0,0,0,0,0,0,package://fanuc_description/meshes/link_6.STL,link_6_mat,part7-1,Origin_J5,Axis_J5,J5,revolute,0.0355,0,0,0,0,0,link_5,1,0,0,11.7,9.6,-7.8554,7.854,,,10,50,,,,
